model,object_id,target_band,n_train_target_band,n_train_other_bands,n_heldout_target_band,heldout_indices,rmse,nrmse,crps,ncrps,object_flux_scale,nlpd,coverage_1sigma,coverage_2sigma,coverage_3sigma,z_score_mean,z_score_std,pit,notes,shuffle_repeat
single_band_gp,26794348,r,19,0,5,[ 7  9 12 21 23],3.5584698281945246,0.6302182957477793,2.2572189622126855,0.3997619078358211,5.646408319473267,3.0359718991334046,0.6,0.8,1.0,-0.3588925240379651,1.3271201045125094,[0.18305895 0.37517445 0.01117863 0.96542895 0.45788583],,
mogp_target_only,26794348,r,19,0,5,[ 7  9 12 21 23],3.558470453790621,0.6302184065431843,2.25721935788057,0.3997619779100811,5.646408319473267,3.035972180882208,0.6,0.8,1.0,-0.3588924715693194,1.3271203094385369,[0.18305894 0.37517445 0.01117862 0.96542898 0.45788585],,
mogp_real_wavelength,26794348,r,19,27,5,[ 7  9 12 21 23],2.9022461523998504,0.513998632084509,1.908317521267292,0.3379701596651997,5.646408319473267,2.8413920769387424,0.6,0.8,1.0,-0.2728514732438058,1.1437868235017474,[0.36483386 0.38936107 0.02073644 0.94246094 0.39177062],,
mogp_independent_band_control,26794348,r,19,27,5,[ 7  9 12 21 23],3.2664754334994055,0.5785049979885485,2.1101607495013903,0.37371734917290567,5.646408319473267,2.9628505521495727,0.6,0.8,1.0,-0.26050070186751756,1.2467027283897945,[0.28429967 0.38190572 0.01662174 0.96217226 0.4684176 ],Approximate independent-band control: wavelength length scale set near zero.,
mogp_shuffled_wavelength_control_seed0,26794348,r,19,27,5,[ 7  9 12 21 23],5.549474551379636,0.9828326676695828,3.372737836636702,0.5973244664231674,5.646408319473267,3.5197831783841194,0.4,0.8,1.0,0.46250753603130457,1.4906523424647071,[0.58565666 0.99808828 0.07582248 0.88242166 0.29127761],,0.0
mogp_shuffled_wavelength_control_seed1,26794348,r,19,27,5,[ 7  9 12 21 23],4.065168299807021,0.7199564873456133,2.5391540576411735,0.4496936661282835,5.646408319473267,2.9744531659126685,0.4,1.0,1.0,0.20263242205503534,1.160691909042218,[0.57231748 0.93986691 0.0609718  0.911611   0.29914955],,1.0
mogp_shuffled_wavelength_control_seed2,26794348,r,19,27,5,[ 7  9 12 21 23],2.8924192493222414,0.5122582508507045,1.9062253330665473,0.3375996253215305,5.646408319473267,2.8400833310363742,0.6,0.8,1.0,-0.24882187020029262,1.1426169496626661,[0.38091274 0.40580567 0.02230552 0.94545814 0.3833483 ],,2.0
mogp_shuffled_wavelength_control_seed3,26794348,r,19,27,5,[ 7  9 12 21 23],2.970274213673775,0.5260466557882342,1.9528020055959043,0.3458485279679657,5.646408319473267,2.8762249612540023,0.6,0.8,1.0,-0.2696757180993335,1.1723143036287276,[0.3805234  0.36675612 0.01907079 0.94854381 0.39689958],,3.0
mogp_shuffled_wavelength_control_seed4,26794348,r,19,27,5,[ 7  9 12 21 23],5.539293550888738,0.9810295744615011,3.3672145329389496,0.5963462687114107,5.646408319473267,3.5155048788962744,0.4,0.8,1.0,0.4609280058122095,1.4883552220706633,[0.58537474 0.99804484 0.07585377 0.88241589 0.29117539],,4.0
same_total_train_budget_existing,26794348,r,6,13,5,[ 7  9 12 21 23],6.0691106587826225,1.074862162881764,3.519226007781073,0.6232680685957492,5.646408319473267,3.3721412601780494,0.4,0.8,1.0,0.9309221201570288,1.2055115003743575,[0.3019797  0.99489653 0.88446892 0.96227173 0.35542333],"Fixed-total-budget comparison, not an isolated cross-band covariance test.",
single_band_gp,97960909,r,17,0,5,[ 4  5  9 16 19],3.9533069399295444,0.4960571388843116,4.667490816422289,0.5856722423390945,7.969458818435669,3.700370813976914,0.8,1.0,1.0,-0.3731588378965334,0.5382795323592852,[0.51486901 0.47587958 0.08768401 0.52398653 0.29198942],,
mogp_target_only,97960909,r,17,0,5,[ 4  5  9 16 19],3.953309001902268,0.49605739761865864,4.667492252207341,0.585672422500017,7.969458818435669,3.700370986538509,0.8,1.0,1.0,-0.37315913591176486,0.5382797853112598,[0.51486901 0.47587958 0.08768393 0.52398653 0.29198907],,
mogp_real_wavelength,97960909,r,17,25,5,[ 4  5  9 16 19],3.7204538492776567,0.46683895783126056,4.122270470098381,0.5172585195574854,7.969458818435669,3.4849954073077023,1.0,1.0,1.0,-0.0450289350251545,0.3864298169087665,[0.51077508 0.51279726 0.37860928 0.72124071 0.28718188],,
mogp_independent_band_control,97960909,r,17,25,5,[ 4  5  9 16 19],3.7103206079931685,0.46556744849601595,7.665634687131437,0.9618764412708428,7.969458818435669,4.053227817928274,0.8,1.0,1.0,-0.34449315117884655,0.4656873278589937,[0.50348957 0.48915067 0.11944318 0.50474565 0.29524182],Approximate independent-band control: wavelength length scale set near zero.,
mogp_shuffled_wavelength_control_seed0,97960909,r,17,25,5,[ 4  5  9 16 19],3.5076914174710505,0.4401417332575636,4.000191520211841,0.5019401707626919,7.969458818435669,3.4567996414784403,1.0,1.0,1.0,-0.012397724853652693,0.362782797091002,[0.5120337  0.51402835 0.45123252 0.71363091 0.28474466],,0.0
mogp_shuffled_wavelength_control_seed1,97960909,r,17,25,5,[ 4  5  9 16 19],5.134780227868014,0.6443072666351922,4.461087342809603,0.5597729337015727,7.969458818435669,3.5159666889906007,1.0,1.0,1.0,0.013062593056465044,0.5004802221219257,[0.5093849  0.51361092 0.36962265 0.81754442 0.28585615],,1.0
mogp_shuffled_wavelength_control_seed2,97960909,r,17,25,5,[ 4  5  9 16 19],3.791415376556813,0.47574314177848187,4.066118559487842,0.5102126320148278,7.969458818435669,3.4727638899893107,1.0,1.0,1.0,-0.07870239218773709,0.4190287989127908,[0.50971494 0.51455366 0.3195668  0.72353043 0.28136006],,2.0
mogp_shuffled_wavelength_control_seed3,97960909,r,17,25,5,[ 4  5  9 16 19],3.6015412563163864,0.4519179204471171,4.080453793494378,0.5120114033408524,7.969458818435669,3.480494486302857,1.0,1.0,1.0,-0.06747393697548833,0.3904681370660429,[0.51013857 0.51429106 0.34907336 0.71125393 0.28507034],,3.0
mogp_shuffled_wavelength_control_seed4,97960909,r,17,25,5,[ 4  5  9 16 19],3.620704199832912,0.45432246810249816,4.075524778830599,0.5113929153385833,7.969458818435669,3.473016103109553,1.0,1.0,1.0,-0.01729957980386585,0.36831916627724637,[0.50960852 0.51426889 0.43674048 0.71823922 0.28612536],,4.0
same_total_train_budget_existing,97960909,r,4,13,5,[ 4  5  9 16 19],55.210824925500496,6.927801019284001,24.14424334185039,3.029596349252443,7.969458818435669,4.8991134213933565,0.8,0.8,1.0,-0.5074470322907048,1.030210919246596,[0.53124814 0.50052727 0.00521839 0.53573161 0.4421033 ],"Fixed-total-budget comparison, not an isolated cross-band covariance test.",
single_band_gp,114809828,r,15,0,4,[ 4  7 11 13],1.9342797849775544,0.4795919810801358,2.0543018411924248,0.5093506624045487,4.03317791223526,2.9576028663497307,1.0,1.0,1.0,-0.020237953388136776,0.22772995167296406,[0.38228303 0.42770434 0.55810447 0.60048206],,
mogp_target_only,114809828,r,15,0,4,[ 4  7 11 13],1.934279294577697,0.47959185948870886,2.0543014408699465,0.5093505631472169,4.03317791223526,2.957602753277876,1.0,1.0,1.0,-0.02023794367211179,0.22772966786536966,[0.38228302 0.42770458 0.55810454 0.60048178],,
mogp_real_wavelength,114809828,r,15,22,4,[ 4  7 11 13],5.231743555072477,1.2971764868594526,3.457136744824717,0.8571743721835244,4.03317791223526,3.3310658143777716,0.75,1.0,1.0,0.30620567452218633,0.7062301573052535,[0.34745468 0.9313141  0.53238318 0.51998364],,
mogp_independent_band_control,114809828,r,15,22,4,[ 4  7 11 13],1.9509052044969135,0.483714144763747,1.8353475659840939,0.4550623865156772,4.03317791223526,2.828789210926527,1.0,1.0,1.0,-0.03581507040194752,0.26407919540706903,[0.36370163 0.40453487 0.57026965 0.60637647],Approximate independent-band control: wavelength length scale set near zero.,
mogp_shuffled_wavelength_control_seed0,114809828,r,15,22,4,[ 4  7 11 13],5.109909020959452,1.2669684135326051,3.386720659402084,0.8397151658318743,4.03317791223526,3.309324416457212,0.75,1.0,1.0,0.2845227493561085,0.6638203434957671,[0.35215001 0.91784821 0.52920056 0.52137729],,0.0
mogp_shuffled_wavelength_control_seed1,114809828,r,15,22,4,[ 4  7 11 13],5.097906656695238,1.2639925060657407,3.375223030840079,0.836864404270594,4.03317791223526,3.3069873398095444,0.75,1.0,1.0,0.2869096814023039,0.6625016387680983,[0.35092474 0.91752707 0.52804698 0.52848986],,1.0
mogp_shuffled_wavelength_control_seed2,114809828,r,15,22,4,[ 4  7 11 13],5.09261992383374,1.2626816953411604,3.3765657312361927,0.837197318023801,4.03317791223526,3.308160103912095,0.75,1.0,1.0,0.28442728139461554,0.6598340208681976,[0.35214662 0.91662977 0.52819848 0.52541337],,2.0
mogp_shuffled_wavelength_control_seed3,114809828,r,15,22,4,[ 4  7 11 13],5.081277749371411,1.2598694776038966,3.369894091658187,0.8355431287658052,4.03317791223526,3.3073417428870155,0.75,1.0,1.0,0.2854672943900046,0.6581635986275776,[0.35314846 0.91636257 0.52789822 0.52698872],,3.0
mogp_shuffled_wavelength_control_seed4,114809828,r,15,22,4,[ 4  7 11 13],5.08392069115872,1.260524777678632,3.3575723888835274,0.8324880434105869,4.03317791223526,3.30085067913236,0.75,1.0,1.0,0.2748344815469491,0.6518397258654287,[0.3533395  0.91329991 0.52739792 0.5181728 ],,4.0
same_total_train_budget_existing,114809828,r,2,13,4,[ 4  7 11 13],14.75204352168855,3.6576723969790614,7.622020467073358,1.889829963600365,4.03317791223526,4.574086599563154,0.75,0.75,0.75,-1.1073256749069946,1.5200261356769986,[2.34284216e-01 1.12446076e-04 5.25669804e-01 4.68275936e-01],"Fixed-total-budget comparison, not an isolated cross-band covariance test.",
single_band_gp,9858227,r,22,0,6,[ 2  4  8 16 17 25],10.372720955826322,0.7798812055258489,5.497482424187251,0.4133325516603347,13.300385856628418,3.653089787041776,0.8333333333333334,1.0,1.0,-0.5137612400249431,0.3904018384758804,[0.44064644 0.40680612 0.35538195 0.40064014 0.19632813 0.1112064 ],,
mogp_target_only,9858227,r,22,0,6,[ 2  4  8 16 17 25],10.372721202415233,0.7798812240658307,5.497482297254501,0.41333254211679576,13.300385856628418,3.6530898962662115,0.8333333333333334,1.0,1.0,-0.513761650035124,0.3904023030007876,[0.44064628 0.40680613 0.35538193 0.40064011 0.19632805 0.11120609],,
mogp_real_wavelength,9858227,r,22,25,6,[ 2  4  8 16 17 25],9.998507433649108,0.7517456667368957,5.013965104139467,0.3769789206258774,13.300385856628418,3.510682714772278,0.6666666666666666,1.0,1.0,-0.6083010603953687,0.44635669180993537,[0.41110289 0.38013643 0.38536545 0.35822596 0.12657043 0.09298462],,
mogp_independent_band_control,9858227,r,22,25,6,[ 2  4  8 16 17 25],10.420774849660734,0.7834941754315652,5.190087773019704,0.39022084238504684,13.300385856628418,3.5171461339308645,0.6666666666666666,1.0,1.0,-0.6469643226082865,0.4410750817120262,[0.41463052 0.38260295 0.30208461 0.36594423 0.12206413 0.08984243],Approximate independent-band control: wavelength length scale set near zero.,
mogp_shuffled_wavelength_control_seed0,9858227,r,22,25,6,[ 2  4  8 16 17 25],9.890724745875609,0.7436419403536657,4.988506122519866,0.37506476701454344,13.300385856628418,3.517419457568266,0.6666666666666666,1.0,1.0,-0.5904541298039466,0.4476672666377896,[0.39874716 0.37311318 0.43084053 0.35863469 0.13232273 0.09498115],,0.0
mogp_shuffled_wavelength_control_seed1,9858227,r,22,25,6,[ 2  4  8 16 17 25],9.859318590883028,0.741280643822037,4.949479613532401,0.3721305281580056,13.300385856628418,3.5044831173619926,0.6666666666666666,1.0,1.0,-0.596907877267102,0.45111218127974767,[0.40444873 0.37512487 0.41304426 0.36458757 0.12779563 0.09367296],,1.0
mogp_shuffled_wavelength_control_seed2,9858227,r,22,25,6,[ 2  4  8 16 17 25],10.074987749054678,0.7574958995669797,5.0174254987048394,0.37723909312032033,13.300385856628418,3.494664002328211,0.6666666666666666,1.0,1.0,-0.6384996112547222,0.45264994916373946,[0.4057091  0.37749041 0.35877053 0.35485072 0.11446889 0.08960061],,2.0
mogp_shuffled_wavelength_control_seed3,9858227,r,22,25,6,[ 2  4  8 16 17 25],9.96300569392139,0.7490764404369666,4.971655552201772,0.37379784359594975,13.300385856628418,3.494131891189982,0.6666666666666666,1.0,1.0,-0.6220932154118183,0.4594687358944124,[0.41126368 0.37881997 0.38237877 0.3565097  0.11672052 0.08994439],,3.0
mogp_shuffled_wavelength_control_seed4,9858227,r,22,25,6,[ 2  4  8 16 17 25],10.0558708718836,0.7560585820803182,5.01239882845341,0.3768611589531755,13.300385856628418,3.4957336398180807,0.6666666666666666,1.0,1.0,-0.6340728622104522,0.4537613832983582,[0.40766607 0.37880997 0.36067096 0.35744464 0.11561937 0.08961347],,4.0
same_total_train_budget_existing,9858227,r,5,17,6,[ 2  4  8 16 17 25],13.916182954928086,1.046299190484972,7.819516505243604,0.5879165153202415,13.300385856628418,3.968613248593359,0.8333333333333334,1.0,1.0,-0.7759381942527105,0.2813799295636871,[0.18261835 0.24603724 0.28105102 0.34422495 0.09737196 0.21598347],"Fixed-total-budget comparison, not an isolated cross-band covariance test.",
single_band_gp,19370388,r,20,0,5,[ 0  7 10 15 23],2.042017567764398,0.4527727215929089,1.1929096983376613,0.2645016278298914,4.510027813911436,2.181579040914504,0.8,1.0,1.0,0.2313804778485827,0.6902813781739688,[0.82301271 0.62148375 0.84974393 0.29962246 0.27785212],,
mogp_target_only,19370388,r,20,0,5,[ 0  7 10 15 23],2.0420176077547407,0.45277273045989247,1.1929097217127298,0.26450163301280144,4.510027813911436,2.1815790543549145,0.8,1.0,1.0,0.23138047732790284,0.690281399473303,[0.82301272 0.62148374 0.84974393 0.29962245 0.27785212],,
mogp_real_wavelength,19370388,r,20,28,5,[ 0  7 10 15 23],2.082777803434772,0.4618104121243612,1.217637959962872,0.26998457885492383,4.510027813911436,2.192165444668735,0.8,1.0,1.0,0.17199094121796246,0.7316929321943452,[0.82391432 0.59367547 0.84455755 0.26868979 0.24070778],,
mogp_independent_band_control,19370388,r,20,28,5,[ 0  7 10 15 23],2.0270570845829843,0.4494555617440788,1.1854294521808064,0.26284304689303295,4.510027813911436,2.178344007813995,0.8,1.0,1.0,0.22990766698022203,0.6841534862232473,[0.82069827 0.62007392 0.84820013 0.30125805 0.28024127],Approximate independent-band control: wavelength length scale set near zero.,
mogp_shuffled_wavelength_control_seed0,19370388,r,20,28,5,[ 0  7 10 15 23],2.0821077332961995,0.46166183873053296,1.2176776917875367,0.2699933885178138,4.510027813911436,2.1920951384952585,0.8,1.0,1.0,0.16742246146243206,0.733330056119229,[0.8233529  0.59237935 0.84359944 0.26695099 0.23820845],,0.0
mogp_shuffled_wavelength_control_seed1,19370388,r,20,28,5,[ 0  7 10 15 23],2.082031963428932,0.46164503842011495,1.2176462844626996,0.26998642463064215,4.510027813911436,2.192081198729153,0.8,1.0,1.0,0.16732336759742217,0.7333337507665023,[0.82332963 0.59233946 0.84357572 0.26692349 0.23817118],,1.0
mogp_shuffled_wavelength_control_seed2,19370388,r,20,28,5,[ 0  7 10 15 23],1.7376118674873173,0.38527741716526787,1.0582834290555976,0.23465119789090047,4.510027813911436,2.1332738112347442,1.0,1.0,1.0,0.2030930043790315,0.5629098366159782,[0.76805919 0.61958878 0.80852239 0.33425742 0.32072117],,2.0
mogp_shuffled_wavelength_control_seed3,19370388,r,20,28,5,[ 0  7 10 15 23],1.9530735975781464,0.4330513420679536,1.1519784274530493,0.25542601398148956,4.510027813911436,2.1674624790544605,1.0,1.0,1.0,0.22816846252088446,0.6487098980288181,[0.80626353 0.62838951 0.83780992 0.31307332 0.29140083],,3.0
mogp_shuffled_wavelength_control_seed4,19370388,r,20,28,5,[ 0  7 10 15 23],2.0811064321474313,0.461439822106671,1.2171244509918795,0.2698707194748534,4.510027813911436,2.191863414411303,0.8,1.0,1.0,0.16765050198511083,0.7327593958380384,[0.82320722 0.59224632 0.84361158 0.26720018 0.23859132],,4.0
same_total_train_budget_existing,19370388,r,6,14,5,[ 0  7 10 15 23],2.1002920800083147,0.4656938197875066,1.222376513722123,0.27103524948374674,4.510027813911436,2.1951409724760134,0.8,1.0,1.0,0.22267409851317788,0.7175520121648236,[0.82942952 0.60956017 0.85689429 0.28625429 0.26801602],"Fixed-total-budget comparison, not an isolated cross-band covariance test.",
single_band_gp,39985847,r,19,0,5,[ 6  7  8 16 19],2.2835726250245587,0.34708807408766634,3.3636842497481445,0.5112579627597982,6.579231023788451,3.362656963972756,1.0,1.0,1.0,-0.055157019507436164,0.3138410431699306,[0.50908653 0.55545296 0.53212053 0.24961851 0.56240716],,
mogp_target_only,39985847,r,19,0,5,[ 6  7  8 16 19],2.283571036869634,0.3470878326985254,3.3636849713778956,0.5112580724427912,6.579231023788451,3.36265725123022,1.0,1.0,1.0,-0.0551577033409472,0.313840602146228,[0.50908651 0.55545244 0.53211964 0.24961857 0.56240715],,
mogp_real_wavelength,39985847,r,19,27,5,[ 6  7  8 16 19],1.942820151235693,0.2952959311218986,2.359198420045826,0.35858269933305253,6.579231023788451,2.947552183805101,1.0,1.0,1.0,-0.19190378066672387,0.3921253393441523,[0.52055742 0.51467601 0.46573719 0.16595004 0.5033577 ],,
mogp_independent_band_control,39985847,r,19,27,5,[ 6  7  8 16 19],1.698052926090958,0.258092916930767,2.755371898662762,0.4187984718427116,6.579231023788451,3.150769326855209,1.0,1.0,1.0,-0.0694460485703889,0.24611480487566526,[0.51068468 0.5144368  0.47457384 0.29654038 0.57453916],Approximate independent-band control: wavelength length scale set near zero.,
mogp_shuffled_wavelength_control_seed0,39985847,r,19,27,5,[ 6  7  8 16 19],2.5462152052386893,0.3870080251069415,2.5616895846663006,0.38936002937182607,6.579231023788451,2.989669911573631,0.8,1.0,1.0,-0.24965117050189273,0.5360790129330626,[0.51273823 0.53741693 0.4817714  0.09379228 0.49575015],,0.0
mogp_shuffled_wavelength_control_seed1,39985847,r,19,27,5,[ 6  7  8 16 19],2.4072123992463683,0.3658805095219544,2.482352054274906,0.3773012446742626,6.579231023788451,2.9654417840865075,0.8,1.0,1.0,-0.24518375312730067,0.5010942924278348,[0.52033018 0.52043605 0.4670126  0.10701417 0.4988818 ],,1.0
mogp_shuffled_wavelength_control_seed2,39985847,r,19,27,5,[ 6  7  8 16 19],2.3922539018744344,0.36360691594880756,2.481949847993616,0.3772401119552814,6.579231023788451,2.9610984368443676,0.8,1.0,1.0,-0.24765927627154866,0.5036478129912462,[0.51221808 0.52221815 0.46674311 0.10554865 0.50373582],,2.0
mogp_shuffled_wavelength_control_seed3,39985847,r,19,27,5,[ 6  7  8 16 19],2.125613667246211,0.32307934765638324,2.401931899119707,0.36507790810735613,6.579231023788451,2.9354507325634955,0.8,1.0,1.0,-0.21883237490877688,0.440636241684588,[0.51220442 0.52159256 0.46717531 0.1367024  0.49948859],,3.0
mogp_shuffled_wavelength_control_seed4,39985847,r,19,27,5,[ 6  7  8 16 19],2.683246341933418,0.40783585987961735,2.617516094453824,0.39784529301216215,6.579231023788451,3.0303103012496155,0.8,1.0,1.0,-0.2600338032238971,0.5474351276886942,[0.5201351  0.52941928 0.4784682  0.08834648 0.4922348 ],,4.0
same_total_train_budget_existing,39985847,r,4,15,5,[ 6  7  8 16 19],38.36108249262084,5.830633147539447,17.88532043719537,2.7184514987431845,6.579231023788451,17.94025384318402,0.8,0.8,0.8,2.349308822637966,4.9456324460935255,[0.41780462 0.48603823 0.48965899 1.         0.41130424],"Fixed-total-budget comparison, not an isolated cross-band covariance test.",
single_band_gp,76782555,r,20,0,5,[ 0  3  5 10 19],3.2088611401265292,0.5584664608201709,2.1455298542584798,0.37340552051576265,5.745843958854674,2.8684599161649458,1.0,1.0,1.0,0.14422218331184178,0.5529651177157422,[0.64664362 0.70353935 0.57087835 0.17677299 0.71203899],,
mogp_target_only,76782555,r,20,0,5,[ 0  3  5 10 19],3.208861339670236,0.5584664955485256,2.1455306617295546,0.3734056610470894,5.745843958854674,2.8684604586035225,1.0,1.0,1.0,0.1442217601818438,0.5529651202231008,[0.64664324 0.70353914 0.57087839 0.17677286 0.71203894],,
mogp_real_wavelength,76782555,r,20,28,5,[ 0  3  5 10 19],5.483810154481626,0.954395941440554,3.161040871794966,0.5501438769362369,5.745843958854674,3.115497848754701,0.6,1.0,1.0,0.1831083374389769,1.0937041449443319,[0.46359733 0.92903299 0.79614303 0.03960415 0.67927225],,
mogp_independent_band_control,76782555,r,20,28,5,[ 0  3  5 10 19],3.5502488422877514,0.6178811794595667,2.814232369540656,0.4897857285532029,5.745843958854674,3.1148869916576123,1.0,1.0,1.0,0.12838196651294606,0.5113120798557147,[0.615664   0.69134019 0.55688693 0.19742663 0.71086467],Approximate independent-band control: wavelength length scale set near zero.,
mogp_shuffled_wavelength_control_seed0,76782555,r,20,28,5,[ 0  3  5 10 19],5.641639308317506,0.9818643438138305,2.983428385655027,0.519232406417406,5.745843958854674,2.9599826862708603,0.6,1.0,1.0,0.37280250264035286,0.8685429945695232,[0.43468461 0.9290925  0.85439847 0.16585157 0.6824674 ],,0.0
mogp_shuffled_wavelength_control_seed1,76782555,r,20,28,5,[ 0  3  5 10 19],4.9841554205618115,0.8674366126634788,2.6777651736709105,0.46603513649971673,5.745843958854674,2.887392792142303,0.6,1.0,1.0,0.2649041520785396,0.785912490426757,[0.43558495 0.87781514 0.80965876 0.15136804 0.6831422 ],,1.0
mogp_shuffled_wavelength_control_seed2,76782555,r,20,28,5,[ 0  3  5 10 19],5.645185398502328,0.9824815012253812,2.966877800416934,0.5163519618114247,5.745843958854674,2.942189417197653,0.4,1.0,1.0,0.3019909189985113,0.8797305126704461,[0.4483964  0.89729907 0.85541345 0.12227625 0.68335576],,2.0
mogp_shuffled_wavelength_control_seed3,76782555,r,20,28,5,[ 0  3  5 10 19],5.428025982826072,0.9446873290843852,2.834098244968981,0.49324316240810434,5.745843958854674,2.902349134258793,0.4,1.0,1.0,0.2822343514110143,0.855423891888915,[0.47223329 0.87361676 0.85347588 0.117244   0.6824612 ],,3.0
mogp_shuffled_wavelength_control_seed4,76782555,r,20,28,5,[ 0  3  5 10 19],5.98881162956725,1.0422858108316968,3.1252938004343873,0.5439224982116215,5.745843958854674,2.9800676976484572,0.4,1.0,1.0,0.35270029455495433,0.8663126966433343,[0.48387957 0.90000882 0.87359983 0.13681988 0.68205875],,4.0
same_total_train_budget_existing,76782555,r,6,14,5,[ 0  3  5 10 19],6.527163505381888,1.1359799451781416,3.8110662273201235,0.6632735338116958,5.745843958854674,3.3312728442134856,0.8,1.0,1.0,0.08608909146726736,0.7704393153743325,[0.72009401 0.80380416 0.70825468 0.3749051  0.10797545],"Fixed-total-budget comparison, not an isolated cross-band covariance test.",
single_band_gp,92321294,r,20,0,5,[ 6 10 11 13 18],2.414577032939748,0.5238119869022005,1.4135502030773397,0.3066518609093499,4.609625387191772,2.3499937829638458,0.8,1.0,1.0,-0.3084189115011056,0.8446376777334762,[0.64325368 0.77527409 0.05428206 0.41458519 0.1990144 ],,
mogp_target_only,92321294,r,20,0,5,[ 6 10 11 13 18],2.414577475361726,0.5238120828800601,1.4135504684880682,0.30665191848685486,4.609625387191772,2.3499940362935554,0.8,1.0,1.0,-0.3084188602915998,0.844637703676515,[0.64325385 0.77527389 0.05428203 0.41458552 0.19901437],,
mogp_real_wavelength,92321294,r,20,27,5,[ 6 10 11 13 18],2.870535436382549,0.6227264029651023,1.6902405147314308,0.3666763289329117,4.609625387191772,2.546220967132602,0.6,1.0,1.0,-0.3792389248719253,0.9095887426661382,[0.59624186 0.64354355 0.0385415  0.66436865 0.12214704],,
mogp_independent_band_control,92321294,r,20,27,5,[ 6 10 11 13 18],3.0989392869642587,0.6722757332027283,1.8211002525071636,0.39506469605257777,4.609625387191772,2.6186424320374093,0.6,1.0,1.0,-0.43608466326407685,0.9075465795926143,[0.68849221 0.63024007 0.03611041 0.5047058  0.1115045 ],Approximate independent-band control: wavelength length scale set near zero.,
mogp_shuffled_wavelength_control_seed0,92321294,r,20,27,5,[ 6 10 11 13 18],3.0100940076732927,0.6530018721341412,1.7896406555909656,0.38823993389216205,4.609625387191772,2.5557435323408884,0.6,1.0,1.0,-0.11914080934120903,0.8862531048786609,[0.70924481 0.74713642 0.11863326 0.7239641  0.1102497 ],,0.0
mogp_shuffled_wavelength_control_seed1,92321294,r,20,27,5,[ 6 10 11 13 18],3.0103051168773916,0.6530476696092864,1.7867746298401765,0.38761818580852114,4.609625387191772,2.5353237101990063,0.6,1.0,1.0,-0.0399703896534227,0.9161871727349157,[0.74527624 0.7908878  0.13576666 0.74178856 0.11153854],,1.0
mogp_shuffled_wavelength_control_seed2,92321294,r,20,27,5,[ 6 10 11 13 18],2.7672842815825986,0.6003273691766208,1.6323162617286378,0.3541103939300934,4.609625387191772,2.5157015105411022,0.6,1.0,1.0,-0.3908047457466207,0.8864537611214618,[0.51268435 0.64917201 0.03946865 0.68834067 0.1349752 ],,2.0
mogp_shuffled_wavelength_control_seed3,92321294,r,20,27,5,[ 6 10 11 13 18],2.9012786672212934,0.6293957585539895,1.7218507109163599,0.37353376170234254,4.609625387191772,2.518496875471833,0.6,1.0,1.0,-0.06327383942684581,0.8583870589172298,[0.68936964 0.78056623 0.15227255 0.73554937 0.11751734],,3.0
mogp_shuffled_wavelength_control_seed4,92321294,r,20,27,5,[ 6 10 11 13 18],3.053754695836594,0.6624735069191752,1.816829431080675,0.3941381952921569,4.609625387191772,2.5893725340419755,0.6,1.0,1.0,-0.250750506039221,0.9011645488084572,[0.68506595 0.68846052 0.07264938 0.68286046 0.10628503],,4.0
same_total_train_budget_existing,92321294,r,3,17,5,[ 6 10 11 13 18],2.4209301629611897,0.5251902182090427,1.5051690538112048,0.3265274132673432,4.609625387191772,2.523362169975292,0.8,1.0,1.0,-0.3428729493461963,0.614508423024375,[0.34771442 0.62494355 0.06897302 0.4937724  0.4434363 ],"Fixed-total-budget comparison, not an isolated cross-band covariance test.",
single_band_gp,94621519,r,18,0,5,[ 0  4  6 14 22],3.1923997012939385,0.6214493636058367,2.1962448587663337,0.42753260791552133,5.137023043632505,2.8818486197060897,1.0,1.0,1.0,0.2512721509904135,0.5045062116842751,[0.65301875 0.62757103 0.64285361 0.80328875 0.2475962 ],,
mogp_target_only,94621519,r,18,0,5,[ 0  4  6 14 22],3.192398734399691,0.6214491753851028,2.196244529977119,0.42753254391167866,5.137023043632505,2.881848731780546,1.0,1.0,1.0,0.2512722348611918,0.5045060408681943,[0.65301872 0.62757097 0.64285361 0.80328879 0.24759637],,
mogp_real_wavelength,94621519,r,18,25,5,[ 0  4  6 14 22],2.8610137209574655,0.5569400208363439,2.146194855401232,0.41778961028051165,5.137023043632505,2.9044648167044285,1.0,1.0,1.0,0.22675135078201736,0.372340151612277,[0.61990467 0.62457656 0.63833489 0.73717433 0.31644385],,
mogp_independent_band_control,94621519,r,18,25,5,[ 0  4  6 14 22],3.0574707805705836,0.5951833882389161,2.6381229834655064,0.5135509342780814,5.137023043632505,3.094402629126225,1.0,1.0,1.0,0.12793435835625963,0.47045393385163503,[0.62929865 0.61476638 0.56677185 0.73100186 0.22180971],Approximate independent-band control: wavelength length scale set near zero.,
mogp_shuffled_wavelength_control_seed0,94621519,r,18,25,5,[ 0  4  6 14 22],2.733071783016105,0.5320341683893807,2.507580001881183,0.488138748956831,5.137023043632505,3.085495508576227,1.0,1.0,1.0,0.29209191621065156,0.25225582631082616,[0.57669734 0.58130191 0.61956548 0.77538408 0.5002979 ],,0.0
