model,object_id,target_band,n_train_target_band,n_train_other_bands,n_heldout_target_band,heldout_indices,rmse,nrmse,crps,ncrps,object_flux_scale,nlpd,coverage_1sigma,coverage_2sigma,coverage_3sigma,z_score_mean,z_score_std,pit,notes,shuffle_repeat
mogp_target_only,105385367,r,20,0,6,[ 6 12 13 14 20 25],1.485867243654514,0.3085477880327802,1.0749256939039695,0.2232137134525784,4.8156794548034645,2.235527003671495,1.0,1.0,1.0,0.017749468724218176,0.48804053617115284,[0.61683085 0.49153233 0.43058987 0.54216317 0.77474593 0.19626875],,
mogp_real_wavelength,105385367,r,20,28,6,[ 6 12 13 14 20 25],1.5003248550645716,0.3115499835787559,1.0732716963792255,0.22287025256813472,4.8156794548034645,2.22646776367719,1.0,1.0,1.0,0.016253506413149765,0.5021866927104945,[0.6201141  0.47809964 0.43060196 0.54436741 0.78319698 0.19133899],,
mogp_independent_band_control,105385367,r,20,28,6,[ 6 12 13 14 20 25],1.5003391473289627,0.31155295143916384,1.073277901816702,0.22287154115836064,4.8156794548034645,2.2264721880232106,1.0,1.0,1.0,0.0162549729412646,0.5021887040032404,[0.6201164  0.47809978 0.43060026 0.54436422 0.78320006 0.19134015],Approximate independent-band control: wavelength length scale set near zero.,
mogp_shuffled_wavelength_control_seed0,105385367,r,20,28,6,[ 6 12 13 14 20 25],1.4733249107028024,0.3059433096680084,1.0736211196236198,0.2229428120579583,4.8156794548034645,2.2381011792851795,1.0,1.0,1.0,0.0224458412020677,0.48146418770109534,[0.61185471 0.49880882 0.43317265 0.54601295 0.77308434 0.19966172],,0.0
mogp_shuffled_wavelength_control_seed1,105385367,r,20,28,6,[ 6 12 13 14 20 25],1.549115958716632,0.3216817010466603,1.0921531644257925,0.2267910841400396,4.8156794548034645,2.239447423065876,1.0,1.0,1.0,-0.0051168775587817445,0.5060088240158027,[0.64334605 0.46890847 0.41574355 0.51707897 0.77111972 0.18601619],,1.0
mogp_shuffled_wavelength_control_seed2,105385367,r,20,28,6,[ 6 12 13 14 20 25],1.5178615659889123,0.31519156958731975,1.0823157971279778,0.22474830546464367,4.8156794548034645,2.235506936443661,1.0,1.0,1.0,0.005097297685499343,0.49884715077206965,[0.63054655 0.47827429 0.42285052 0.52915886 0.77380883 0.18990929],,2.0
mogp_shuffled_wavelength_control_seed3,105385367,r,20,28,6,[ 6 12 13 14 20 25],1.5008500976602466,0.31165905283899314,1.0770508726258659,0.2236550174766194,4.8156794548034645,2.233225149215063,1.0,1.0,1.0,0.012288577699415068,0.49532375659995964,[0.62279891 0.48337607 0.42754836 0.53747574 0.77624557 0.19257177],,3.0
mogp_shuffled_wavelength_control_seed4,105385367,r,20,28,6,[ 6 12 13 14 20 25],1.5575511406510307,0.3234333088963034,1.0953189886455184,0.22744848342282784,4.8156794548034645,2.2413096353999697,1.0,1.0,1.0,-0.0074049011027514005,0.5072601092163198,[0.64658631 0.46699047 0.41391612 0.51399349 0.77017935 0.18546005],,4.0
same_total_train_budget_existing,105385367,r,4,16,6,[ 6 12 13 14 20 25],1.4548583628155585,0.302108638348923,7.512261104749716,1.55995870889133,4.8156794548034645,4.255128547420482,1.0,1.0,1.0,-0.0037586493463463446,0.04382268235879008,[0.51503958 0.48896803 0.48583943 0.49996877 0.52605118 0.4751345 ],"Fixed-total-budget comparison, not an isolated cross-band covariance test.",
single_band_gp,15406344,r,18,0,5,[ 0 13 15 17 19],2.5263016350900886,0.5023039496017835,1.9798738496565893,0.3936578437753845,5.0294281721115075,2.872811959680218,1.0,1.0,1.0,0.12202302166120713,0.3735963241323313,[0.61053751 0.70924366 0.53064321 0.28734303 0.60353011],,
