object_id,obj_type,band,n_test,rmse,mae,sigma_rms,sigma_mean,sigma_median,sigma_q90,z_mean,z_std,z_error,mean_abs_z,rmse_sigma_ratio,mae_sigma_ratio
103854959,TDE,r,4,0.0377780282196987,0.0313239034315036,0.15882730091272645,0.1263252299665186,0.08892940168304957,0.23265039735269014,-0.010421429378804952,0.5226641713443122,-0.4773358286556878,0.4335214606279553,0.2378560109162671,0.35223337657374687
125554681,KN,r,5,0.7743452367413917,0.7524100078765092,0.6110697818174232,0.6022222381901735,0.5646174121604689,0.7232458637875072,-0.2567603457193608,1.3899614339903366,0.38996143399033656,1.3279765549048372,1.267196087553798,1.3326014955816987
10777360,SNII,r,5,0.02674804939433602,0.026042928765974832,0.22194483369988866,0.15937323004382775,0.05354640332970713,0.35407099670459735,-0.2043788552706062,0.4852465140578306,-0.5147534859421694,0.4328310339222872,0.12051665699281128,0.48636186833348743
27655935,SNIa,r,5,1.177931868851039,0.8931260675036998,0.3106243913568186,0.262127550910434,0.3186105269229778,0.43395032323675353,-2.171447939807474,2.219483026715631,1.219483026715631,2.871512669710352,3.792142219436761,2.803190704742809
92053866,EB,r,4,0.29951934214349185,0.2935765186404826,0.6459783036456878,0.5529788081278207,0.5187233470530384,0.9126982682752129,0.9009717284930476,0.6256937203225262,-0.37430627967747376,0.9009717284930476,0.46366780502240373,0.5659597168863599
4766293,SNIa,r,5,0.32318978165583284,0.2835619648630083,0.3665346447354593,0.3561269398312774,0.3553134922227366,0.45369709297291333,-0.07952537217629788,0.8597563038135859,-0.14024369618641408,0.7711109245571264,0.8817441578792369,0.7980613488362857
31151787,SNII,r,5,0.395961601818523,0.3401093407147823,0.33584939310916245,0.33152226754476816,0.3097224897056297,0.3959872013993554,-0.5240451398817478,0.9878977838889184,-0.012102216111081643,0.9949505304037427,1.1789856106419168,1.0981099274968158
78466781,SNII,r,5,0.22986818676937706,0.22779296808049124,0.7077994416284393,0.6375971689679936,0.6030436253188332,0.9856490161393795,-0.10496926899581287,0.47142109935866094,-0.5285789006413391,0.43909905270230654,0.32476457771783157,0.3777387879028745
82866974,SNIa-91bg,r,5,0.16513897734335453,0.1454291931539507,0.1659259529019498,0.16339615530471865,0.14850887752084047,0.19864726681664577,0.11225027138547136,1.0749623197896148,0.07496231978961476,0.9212547288111868,0.9952570677170658,0.97926262444171
98363779,TDE,r,5,0.055433306152128416,0.04646358206461883,0.17043747852265537,0.15368559037864013,0.0965860326066619,0.24688381056840167,-0.3187087802953941,0.425446319910998,-0.574553680089002,0.39126387135539953,0.3252412945358139,0.48105901868687023
110339223,SNIa,r,5,0.30017552180770224,0.14073072737876208,0.13969990300140533,0.12404485184340341,0.12959186300104816,0.19137354029248704,-0.5793622874073006,1.650139234712888,0.650139234712888,0.9648035714488875,2.1487167518268255,1.0859534242333087
21400791,SNIa,r,5,0.17191443215546895,0.09575268879727757,0.10254736489241507,0.1019468662782893,0.09598005740428207,0.11572792193523325,-0.9631949561517912,1.5038369845785557,0.5038369845785557,0.9768297783564,1.67643929549851,0.9976310849029106
77398475,SNIa-91bg,r,5,0.06607540867080196,0.06099481289980703,0.2412263284931279,0.21814838784124285,0.1614956085199769,0.3448943995654332,-0.2387690560539264,0.3901050298562239,-0.6098949701437761,0.3774960444672425,0.27391458089818055,0.377687130063738
82359069,SNIa,r,5,1.2688054831246918,0.7445150473669618,0.676504437123041,0.590378969265596,0.6262962659711204,0.9581914582378027,-0.9482936916396003,1.7916202227147695,0.7916202227147695,1.2275641941852957,1.875531649903908,1.1887585601560855
93756669,SNII,r,5,0.10472400604256392,0.09047593735828546,0.34427377560456957,0.278557172640733,0.1805776819536192,0.5281898916538059,0.016277659232811947,0.8941877470125772,-0.1058122529874228,0.6327889666517655,0.3041881591435799,0.5010360991427718
97411149,SNIa,r,5,0.6279240449473312,0.44467218871519537,0.2852333897369671,0.28058045656871305,0.26645691984204184,0.3426928065126452,-1.2429535345583322,1.3741236589022177,0.37412365890221766,1.3953566197223854,2.2014394791801277,1.668833329525843
102540572,SNIax,r,5,0.2755655743788244,0.20817493168025547,0.47728120191082424,0.4697053807730914,0.46589685749240445,0.563645646018091,0.13315606538790845,0.6008437180433763,-0.39915628195662367,0.44986634733342123,0.5773652372554815,0.44682621986487503
106262435,SNII,r,5,0.1369359833711515,0.12156154902482015,0.2297875510769867,0.22251899082803725,0.22099865492691623,0.2826434977819308,-0.42874651355508425,0.4168385627470033,-0.5831614372529967,0.5339889321383282,0.5959242906299709,0.550055605836245
115557873,M-dwarf,r,5,0.11373834776663709,0.10085255428547431,0.6694385043328643,0.5863411431879642,0.6012840400878331,0.9325176058753594,0.10038961061540219,0.20110697315793546,-0.7988930268420645,0.18835399473637357,0.16990111418820192,0.16772863997977092
129722950,SNIa,r,5,0.25736116140540055,0.19628212934842046,0.3323352958748659,0.32222262624581105,0.2981751862420779,0.4109583762045523,-0.6726864470103714,0.5998535237280666,-0.40014647627193345,0.6815025280293201,0.7744021312208279,0.6582778795988273
21142086,SNIa,r,5,0.28363543087641196,0.22776512825886203,0.25624205402988903,0.2323408527322369,0.17869049604118306,0.35084605349191056,-0.7691184385532065,1.0253359531195185,0.02533595311951853,1.0148210145799699,1.1069042977751329,1.2746348200095021
24915102,TDE,r,5,0.11024358718075879,0.0917738164112735,0.23751163271073433,0.22146682064826867,0.20187139592753994,0.3199634959143569,-0.35207465378647773,0.27729260712320697,-0.7227073928767931,0.3839960630055699,0.46416079045283887,0.45461525635962285
